customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
1,Dr. Kendra Contreras,eric84.1@example.net,Micronesia,2020-05-29,Premium,5560.78
2,Brian Tran,sarah12.2@example.com,Faroe Islands,2024-04-12,Standard,1644.15
3,Deborah Freeman,cassandra53.3@example.net,United Kingdom,2022-01-28,Basic,274.02
4,Gavin Anderson,davisrodney.4@example.com,Estonia,2021-05-07,Basic,540.31
5,Ashley Landry,joycearnold.5@example.com,Portugal,2020-02-12,Standard,1892.35
6,Jessica Williams,amydavenport.6@example.net,Haiti,2025-12-08,Premium,10987.53
7,Heather Castro,nolanjason.7@example.org,Tunisia,2025-08-06,Basic,202.19
8,Cynthia Martin,vdickson.8@example.org,South Georgia and the South Sandwich Islands,2025-06-05,Basic,420.59
9,Rachel Jenkins,nicolejohnson.9@example.net,Paraguay,2020-05-21,Standard,1492.75
10,Andrew Ruiz,josephcobb.10@example.org,Cook Islands,2022-05-03,Standard,2583.54
11,Matthew Ross,ybailey.11@example.org,Fiji,2026-06-30,Premium,18098.07
12,Meghan Anthony,rasmussenjoshua.12@example.net,Greenland,2023-11-13,Standard,2325.9
13,Victoria Johnson,wilsontara.13@example.org,Nepal,2020-11-09,Basic,255.71
14,William Wilson,yreed.14@example.com,United Arab Emirates,2020-12-10,Standard,306.65
15,Renee Mcdaniel,jonathanfletcher.15@example.org,Wallis and Futuna,2021-10-04,Standard,2790.94
16,Lisa Alvarado,michaeljones.16@example.net,British Virgin Islands,2026-07-02,Standard,2977.63
17,Kristen Lee,william65.17@example.com,Papua New Guinea,2021-02-18,Basic,101.62
18,Jennifer Bass,lbyrd.18@example.net,Gabon,2026-01-13,Standard,2119.72
19,Jeremy Lowe,jason99.19@example.net,Malawi,2024-07-13,Basic,340.12
20,Bradley Robertson,yleon.20@example.net,North Macedonia,2026-03-01,Standard,615.86
21,Brittany Williams,clarence34.21@example.org,Lebanon,2025-07-10,Standard,2994.68
22,Michael Snyder,gibsonolivia.22@example.net,Ecuador,2022-03-22,Standard,2813.04
23,Colleen Brock,dianasmith.23@example.org,Qatar,2025-07-14,Standard,2951.3
24,Robert Contreras,pwilliams.24@example.org,Monaco,2021-02-17,Basic,115.12
25,Jessica Meadows,stephanie79.25@example.net,Kiribati,2021-12-11,Standard,1577.39
26,Sara Ramirez,juliawells.26@example.com,Slovakia (Slovak Republic),2021-06-01,Standard,2708.17
27,Dustin Nelson,rsims.27@example.com,Ghana,2020-11-21,Standard,2090.44
28,Daniel Perry,taylorjesse.28@example.net,Greenland,2020-08-07,Standard,1416.89
29,Randy Shah,nperry.29@example.com,Angola,2021-04-02,Standard,1646.74
30,Sarah Ashley,wwoods.30@example.com,Italy,2020-10-20,Basic,30.88
